seller_id,seller_name,region,city,business_segment,seller_type,registration_date
2c43fb513632d29b3b58df74816f1b06,Marcos Nascimento,Southeast,São Paulo,pet,Individual,2017-04-05
bbb7d7893a450660432ea6652310ebb7,Amanda Gomes,Southeast,São Paulo,car_accessories,Individual,2017-01-03
612170e34b97004b3ba37eae81836b4c,Larissa Mendes,South,Porto Alegre,home_appliances,Individual,2017-09-07
21e1781e36faf92725dde4730a88ca0f,Pedro Martins,Central-West,Cuiabá,food_drink,Enterprise,2017-05-26
ed8cb7b190ceb6067227478e48cf8dde,Carolina Gomes,Southeast,Rio de Janeiro,home_appliances,Company,2017-05-05
1c742ac33582852aaf3bcfbf5893abcf,João Oliveira,South,Florianópolis,health_beauty,Company,2017-02-12
92d7568ad0c5c76fd7d341b2d46f24d6,Daniel Santos,Northeast,Fortaleza,computers,Enterprise,2017-08-18
44ed138eca6214d572ce1d813fb0049b,Maria Alves,Southeast,Campinas,health_beauty,Company,2017-11-20
0b28859cd04d23edefee9c591fb03cd8,Carolina Oliveira,Northeast,Recife,household_utilities,Individual,2017-11-08
87d73636a3acf123e842bb890a4db036,Gustavo Almeida,Northeast,Salvador,household_utilities,Individual,2017-07-09
f7a0d94e966c5665355a182d5b199fcf,Ricardo Fernandes,North,Porto Velho,construction_tools_house_garden,Company,2017-04-22
b566ab0ef88016e00422755e305103c6,Rodrigo Costa,Northeast,Salvador,construction_tools_house_garden,Enterprise,2017-12-08
2d2322d842118867781fc737e96d59a1,Mariana Nascimento,South,Joinville,household_utilities,Enterprise,2017-12-18
e7012030d0fdd1d3ca504f6de7909c35,Vanessa Santos,South,Florianópolis,toys,Individual,2017-01-26
9e7c5f4d7770eab65738cca38f9efccf,Patricia Oliveira,Northeast,Natal,sports_leisure,Individual,2017-10-23
6a6b1614baaaf766293c17d8cb8c5a9d,Beatriz Rocha,Northeast,Recife,stationery,Company,2017-11-15
df91910b6a03bb2e3358fa6a35e32f6f,Fernanda Almeida,South,Florianópolis,food_drink,Enterprise,2017-09-18
92d46311e4fa7583d14c351fdc881af6,Renata Monteiro,Northeast,Natal,food_supplement,Company,2017-06-08
249f0e9905a6e06ad6c6bea7547ab9f6,Maria Santos,South,Joinville,home_decor,Individual,2017-03-21
b494891378bd8f4560abe576c52deacd,Rodrigo Oliveira,South,Joinville,health_beauty,Company,2017-07-20
8c45b4bc4b5c1e2a4e789b4466a39b77,Felipe Silva,North,Porto Velho,bed_bath_table,Enterprise,2017-12-04
49f6ca9231352dedda1ad1176ce70531,Isabela Araújo,Central-West,Campo Grande,health_beauty,Individual,2017-05-14
7d13fca15225358621be4086e1eb0964,Ana Nascimento,South,Joinville,watches,Enterprise,2017-03-17
efa89b428cbc422ba9313b4fc6feafc7,Vanessa Ribeiro,Southeast,Belo Horizonte,fashion_accessories,Enterprise,2017-04-05
cb3666965a560e723403683bd378a5f7,Felipe Ribeiro,Northeast,Recife,jewerly,Individual,2017-10-11
e819bcfade7b5d88a27325eb6cfd62c5,João Fernandes,North,Manaus,home_decor,Company,2017-04-02
70c27847eca8195c983ed7e798c56743,Maria Rocha,South,Curitiba,pet,Individual,2017-09-25
556a6409838156ea299c9d1f9e2dde43,André Rocha,South,Porto Alegre,household_utilities,Enterprise,2017-03-09
a4fc6eadaff1576af888509a53420f6a,Juliana Alves,Central-West,Cuiabá,computers,Enterprise,2017-12-07
0975b0dd18febd1008391fa53dff0891,André Fernandes,Northeast,Natal,party,Company,2017-09-15
4fae87d32467e18eb46e4a76a0a0b9ce,Pedro Oliveira,Southeast,Rio de Janeiro,small_appliances,Company,2017-01-19
3525be8392a4fa3274c459bcfee41eef,Amanda Almeida,Central-West,Goiânia,food_supplement,Individual,2017-02-23
8b181ee5518df84f18f4e1a43fe07923,Maria Santos,Southeast,Rio de Janeiro,health_beauty,Company,2017-02-17
d594982fd877af63ace38ea1fca27c76,André Rocha,South,Florianópolis,audio_video_electronics,Individual,2017-09-05
2f1e89e231b096f4ff1f55dfe8607a7b,Pedro Rocha,Central-West,Cuiabá,computers,Company,2017-04-04
90269579385b838ce9bd577dcec278a4,Rafael Gomes,Southeast,Campinas,pet,Company,2017-08-28
398cb257329ef7af7f1943a8974a3cbc,Carlos Carvalho,Southeast,São Paulo,food_drink,Enterprise,2017-06-26
d65f74c704563bcb8baa915fbf8cfa1e,Juliana Rodrigues,Southeast,Rio de Janeiro,health_beauty,Enterprise,2017-08-05
26e2c91ef821e1ff8985f408788fe35b,Patricia Martins,North,Belém,bed_bath_table,Individual,2017-02-15
dedcab67899479e4ea5dcc4eba47f587,Carlos Alves,Central-West,Brasília,car_accessories,Individual,2017-02-25
ca4b77513ac2040591b0d8fae6958380,Bruno Rocha,South,Porto Alegre,health_beauty,Company,2017-04-28
cee3c487c56d29554a22d112af618301,Ricardo Carvalho,North,Manaus,other,Individual,2017-07-09
ae9d6bb89361dff26edbccc7e1c2911d,Bruno Alves,North,Porto Velho,fashion_accessories,Enterprise,2017-12-16
da3eab58892c04039f4cd5ecb09ae260,Lucas Rodrigues,South,Porto Alegre,home_decor,Individual,2017-10-24
6e4a902d1054e4e17aa6eab87fac1c75,Marcos Araújo,Central-West,Brasília,audio_video_electronics,Individual,2017-01-19
2d42ebcda99fd55f6f4bc2f1ca035d50,Carlos Ribeiro,North,Belém,home_decor,Individual,2017-03-03
04843805947f0fc584fc1969b6e50fe7,André Almeida,Central-West,Brasília,home_decor,Company,2017-02-19
d9d057968270cdb30c14cba606d5dc90,Rodrigo Oliveira,South,Curitiba,car_accessories,Company,2017-11-19
d4dcd3a31f5f19aea2f258a568517a4f,Eduardo Nascimento,Central-West,Campo Grande,food_drink,Individual,2017-11-23
28760737b4b82d4479ddff8db5e9f71f,Patricia Carvalho,Northeast,Recife,pet,Individual,2017-11-21
0dccb6973ef48a00fbcccfe907181ab0,Camila Oliveira,Northeast,Natal,food_supplement,Individual,2017-08-20
751e274377499a8503fd6243ad9c56f6,Maria Alves,Central-West,Brasília,audio_video_electronics,Individual,2017-09-09
93a55b2252867fd7df54c78cbd5c6d95,Renata Oliveira,South,Florianópolis,construction_tools_house_garden,Individual,2017-06-10
1185ae3e5ac0463c854dad54fc8fc9e1,Vanessa Alves,South,Joinville,bags_backpacks,Enterprise,2017-05-20
2646baaf662d4d92ac48f047e35db92d,André Alves,Central-West,Brasília,construction_tools_house_garden,Company,2017-11-04
e433f5fd4050e3352b5d83522b7fe24b,João Souza,South,Florianópolis,construction_tools_house_garden,Enterprise,2017-09-05
5cc5fe3c6e303fb7656ee7b0ca21ed58,Rodrigo Rodrigues,Northeast,Fortaleza,jewerly,Enterprise,2017-06-07
dc64d75cc406bb0697be983831430e60,Patricia Santos,Northeast,Natal,audio_video_electronics,Individual,2017-11-14
08d1c9478fb0d7d7fcac9c0da4e82fc7,Ana Araújo,Northeast,Salvador,home_decor,Individual,2017-11-09
5181ea7b0d346ed14c5c07f0ff22b2b4,Felipe Gomes,South,Joinville,toys,Enterprise,2017-01-04
ee2fbacc2fc3794e656cc4d933d59ce7,Felipe Santos,Southeast,Rio de Janeiro,small_appliances,Company,2017-10-18
7fc87cc3e89b3d1d5cabdca32f8485aa,Fernanda Santos,South,Joinville,home_office_furniture,Company,2017-06-26
eba08391609dfda5c016fdd264f9383b,Juliana Almeida,Southeast,Belo Horizonte,home_decor,Enterprise,2017-02-12
8b3317388df29d5fa94360a486ad3356,Rodrigo Pereira,Central-West,Cuiabá,car_accessories,Individual,2017-03-26
134285d1f41da5c13a756ee8142c8a4e,Ana Costa,South,Joinville,car_accessories,Enterprise,2017-06-26
e9e446d01bd10a97a8ffcfc4a3a20cb2,Patricia Costa,North,Belém,health_beauty,Enterprise,2017-02-13
6061155addc1e54b4cfb51c1c2a32ad8,Pedro Rodrigues,Southeast,Campinas,pet,Company,2017-06-10
bba8d0c234a52b87b3957037a215d1a4,Ana Rodrigues,South,Porto Alegre,home_decor,Company,2017-06-09
